Department,Municipality,Total 2005,Households 2005
Cundinamarca,Chipaque,8191,2105
Cundinamarca,Choachí,10874,2906
Cundinamarca,Chocontá,19054,4066
Cundinamarca,Cogua,18093,4747
Cundinamarca,Cota,19664,5300
Cundinamarca,Cucunubá,6777,1622
Cundinamarca,El Colegio,20020,6363
Cundinamarca,El Peñón,4796,1463
Cundinamarca,El Rosal,13432,3562
Cundinamarca,Facatativá,106067,28952
Cundinamarca,Fomeque,11669,3441
Cundinamarca,Fosca,6506,1610
Cundinamarca,Funza,60571,16239
Cundinamarca,Fúquene,5088,1320
Cundinamarca,Fusagasugá,107259,29838
Cundinamarca,Gachala,5751,1557
Cundinamarca,Gachancipá,10792,2716
Cundinamarca,Gachetá,10199,2930
Cundinamarca,Gama,3776,1065
Cundinamarca,Girardot,95496,25982
Cundinamarca,Granada,6799,1788
Cundinamarca,Guachetá,11230,3088
Cundinamarca,Guaduas,31250,8606
Cundinamarca,Guasca,12208,3189
Cundinamarca,Guataquí,2223,629
Cundinamarca,Guatavita,5715,1452
Cundinamarca,Guayabal de Siquima,3538,1114
Cundinamarca,Guayabetal,4628,1227
Cundinamarca,Gutiérrez,3403,901
Cundinamarca,Jerusalén,2632,746
Cundinamarca,Junín,8115,2238
Cundinamarca,La Calera,23308,6473
Cundinamarca,La Mesa,26699,8156
Cundinamarca,La Palma,9396,3015
Cundinamarca,La Peña,6792,1921
Cundinamarca,La Vega,12993,3863
Cundinamarca,Lenguazaque,9548,2329
Cundinamarca,Macheta,6663,1902
Cundinamarca,Madrid,61599,16483
Cundinamarca,Manta,4393,1348
Cundinamarca,Medina,9484,2298
Cundinamarca,Mosquera,63584,16774
Cundinamarca,Nariño,2042,501
Cundinamarca,Nemocón,11093,2856
Cundinamarca,Nilo,14224,2425
Cundinamarca,Nimaima,5486,1698
Cundinamarca,Nocaima,5303,1608
Cundinamarca,Venecia,3777,1161
Cundinamarca,Pacho,24766,6974
Cundinamarca,Paime,5281,1464
Cundinamarca,Pandi,5350,1440
Cundinamarca,Paratebueno,7256,1867
Cundinamarca,Pasca,10876,2799
Cundinamarca,Puerto Salgar,15237,4176
Cundinamarca,Pulí,2837,876
Cundinamarca,Quebradanegra,4531,1286
Cundinamarca,Quetame,6433,1477
Cundinamarca,Quipile,7890,2528
Cundinamarca,Apulo,7630,2319
Cundinamarca,Ricaurte,7990,2216
Cundinamarca,San Antonio del Tequendama,10202,2936
Cundinamarca,San Bernardo,9910,2515
Cundinamarca,San Cayetano,5139,1427
Cundinamarca,San Francisco,8187,2500
Cundinamarca,San Juan de Río Seco,9462,2789
Cundinamarca,Sasaima,9948,2901
Cundinamarca,Sesquilé,9691,2512
Cundinamarca,Sibaté,31166,7587
Cundinamarca,Silvania,20872,5796
Cundinamarca,Simijaca,10848,2783
Cundinamarca,Soacha,398295,105100
Cundinamarca,Sopó,21014,5647
Cundinamarca,Subachoque,12972,3522
Cundinamarca,Suesca,13985,3444
Cundinamarca,Supatá,4764,1441
Cundinamarca,Susa,9788,2522
Cundinamarca,Sutatausa,4653,1271
Cundinamarca,Tabio,20714,5323
Cundinamarca,Tausa,7575,1963
Cundinamarca,Tena,7469,2226
Cundinamarca,Tenjo,16607,4391
Cundinamarca,Tibacuy,4698,1226
Cundinamarca,Tibirita,2888,1001
Cundinamarca,Tocaima,16149,4629
Cundinamarca,Tocancipá,23981,6004
Cundinamarca,Topaipí,4599,1360
Cundinamarca,Ubalá,11525,2986
Cundinamarca,Ubaque,6692,1855
Cundinamarca,Villa de San Diego de Ubate,32781,8498
