Department,Municipality,Total 2018,Housing units 2018,Households 2018,People 2018
Caldas,Salamina,19467,8197,5847,16759
Caldas,Samaná,20454,8626,6326,17466
Caldas,San José,4835,1881,1516,4524
Caldas,Supía,28642,9997,8379,26571
Caldas,Victoria,10157,3788,2794,8172
Caldas,Villamaría,64652,23093,20373,62831
Caldas,Viterbo,12734,5029,4069,12432
Caquetá,Florencia,168346,63354,51430,156789
Caquetá,Albania,4675,1875,1559,4514
Caquetá,Belén de Los Andaquies,11021,3332,3161,9075
Caquetá,Cartagena del Chairá,30399,10165,8175,27939
Caquetá,Curillo,7593,3042,2449,7518
Caquetá,El Doncello,19294,6955,6129,17775
Caquetá,El Paujil,18036,5095,5848,13014
Caquetá,La Montañita,14714,4318,3748,12128
Caquetá,Milán,9723,2712,2182,7507
Caquetá,Morelia,3698,1257,1233,3350
Caquetá,Puerto Rico,26517,8895,7665,24395
Caquetá,San José del Fragua,12797,4795,3873,11364
Caquetá,San Vicente del Caguán,50719,14486,12230,42390
Caquetá,Solano,11214,3464,2879,10331
Caquetá,Solita,6216,2273,1724,5431
Caquetá,Valparaíso,6887,2348,1881,6082
Cauca,Popayán,318059,109402,96983,277270
Cauca,Almaguer,18449,7068,6632,16523
Cauca,Argelia,26144,8717,7690,20136
Cauca,Balboa,21108,8193,7323,18910
Cauca,Bolívar,38048,15456,13447,35837
Cauca,Buenos Aires,31436,9461,9090,25257
Cauca,Cajibío,42014,12216,10692,32237
Cauca,Caldono,39946,10382,10662,36139
Cauca,Caloto,30181,8559,8923,25416
Cauca,Corinto,25286,9098,7683,21975
Cauca,El Tambo,53891,16847,13812,38688
Cauca,Florencia,5202,1928,1858,5089
Cauca,Guachené ,19671,6135,6576,18513
Cauca,Guapi,27616,7046,6624,24037
Cauca,Inzá,28879,7890,9100,26571
Cauca,Jambaló,17841,3993,5059,16353
Cauca,La Sierra,10749,3603,3704,9935
Cauca,La Vega,24501,7780,7537,19777
Cauca,López,18580,4962,4074,15154
Cauca,Mercaderes,22688,7116,5830,14824
Cauca,Miranda,31360,10360,10160,28662
Cauca,Morales,38838,11238,12282,29737
Cauca,Padilla,9937,3336,3185,8763
Cauca,Paez,45776,9511,11655,37666
Cauca,Patía,36848,11636,11479,28586
Cauca,Piamonte,8811,2815,2681,7125
Cauca,Piendamó,40818,11998,12090,33431
Cauca,Puerto Tejada,41615,13907,12992,40244
Cauca,Puracé,17272,4211,5164,14952
Cauca,Rosas,11475,3855,3487,9336
Cauca,San Sebastián,10948,4204,3902,9806
Cauca,Santander de Quilichao,110445,35751,31191,96032
Cauca,Santa Rosa,5339,1993,1638,5045
Cauca,Silvia,37337,9870,10945,33508
Cauca,Sotara,13939,4574,4588,11958
Cauca,Suárez,31904,9576,7809,19690
Cauca,Sucre,9489,2722,2754,6201
Cauca,Timbío,35479,11607,11265,32217
Cauca,Timbiquí,26100,6974,6054,21618
Cauca,Toribio,35218,8866,10535,30654
Cauca,Totoró,24558,5586,6918,20870
Cauca,Villa Rica,20693,7201,6420,18761
Cesar,Valledupar,490075,141866,127587,459349
Cesar,Aguachica,109621,33398,30355,95878
Cesar,Agustín Codazzi,60768,18440,16993,58621
Cesar,Astrea,20120,5278,5508,18434
Cesar,Becerril,21611,6531,5423,20477
Cesar,Bosconia,40022,11552,10133,37531
Cesar,Chimichagua,34169,9495,8778,30289
Cesar,Chiriguaná,27694,9642,7548,27006
Cesar,Curumaní,37399,11648,10257,34838
Cesar,El Copey,30159,9172,7584,28550
Cesar,El Paso,37531,12314,9518,34620
Cesar,Gamarra,14973,4133,4321,12444
Cesar,González,4379,1413,1231,4053
Cesar,La Gloria,17150,4898,4563,14989
Cesar,La Jagua de Ibirico,46722,14879,12418,37356
Cesar,Manaure,10047,3066,2728,9313
Cesar,Pailitas,18566,6232,5030,16800
Cesar,Pelaya,20683,6643,5611,18497
Cesar,Pueblo Bello,27007,5985,5462,22929
Cesar,Río de Oro,16837,5305,4632,14408
Cesar,La Paz,27759,7914,7590,26109
Cesar,San Alberto,26247,7684,7455,23040
Cesar,San Diego,19022,5666,5430,18531
Cesar,San Martín,26674,6640,6386,20452
Cesar,Tamalameque,15339,4736,4176,14063
Córdoba,Montería,490935,133604,129900,433723
Córdoba,Ayapel,46968,11601,11863,38816
Córdoba,Buenavista,21078,5447,5476,18344
Córdoba,Canalete,15353,4364,3934,14831
Córdoba,Cereté,105815,27315,30448,96252
Córdoba,Chimá,17529,3970,4189,13492
Córdoba,Chinú,47917,13632,12019,42680
Córdoba,Ciénaga de Oro,59086,17163,15403,56278
Córdoba,Cotorra,19041,4506,5221,16215
Córdoba,La Apartada,14866,4217,3930,13742
Córdoba,Lorica,113909,29967,30897,98491
Córdoba,Los Córdobas,18717,5604,5086,15886
Córdoba,Momil,19590,4363,5138,16264
Córdoba,Montelíbano,81641,23098,22917,71824
Córdoba,Moñitos,29833,7547,7519,25095
Córdoba,Planeta Rica,64205,18258,16803,60259
Córdoba,Pueblo Nuevo,35655,7346,8272,26968
Córdoba,Puerto Escondido,23649,6036,5394,19474
Córdoba,Puerto Libertador,41873,13018,11306,35362
Córdoba,Purísima,17206,4360,4329,14705
Córdoba,Sahagún,107636,27866,28609,94020
Córdoba,San Andrés Sotavento,48610,9879,11415,42046
Córdoba,San Antero,33878,9075,9019,29028
Córdoba,San Bernardo del Viento,37007,9229,9018,29437
Córdoba,San Carlos,26954,6730,7212,23532
Córdoba,San José de Uré(1),13345,3078,3315,11059
Córdoba,San Pelayo,51838,11712,14363,40617
Córdoba,Tierralta,92349,24426,22750,86578
Córdoba,Tuchín,52606,8189,10847,40033
Córdoba,Valencia,35694,9901,10023,30545
Cundinamarca,Agua de Dios,11685,5330,4146,10742
Cundinamarca,Albán,6438,3029,2137,6136
Cundinamarca,Anapoima,14519,9074,4586,12241
Cundinamarca,Anolaima,13816,6561,4880,12204
