Location,Department-2018,Municipality-2018,Total 2018,Housing units 2018,Households 2018,People 2018,Total 2005,Households 2005,var_pop,var_households,household/housing ratio,location,point,latitude,longitude,altitude
"Guatapé, Antioquia",Antioquia,Guatapé,8363,3676,2469,7038,5800,1587.0,0.028550690903733633,0.03458204166330092,0.6716539717083787,"Guatapé, Oriente, Antioquia, Región Andina, Colombia","(6.2525941, -75.16688346311615, 0.0)",6.2525941,-75.16688346311615,0.0
"Heliconia, Antioquia",Antioquia,Heliconia,5451,2613,1671,4709,6567,1676.0,-0.014225389929145793,-0.00022980070305222977,0.6394948335246843,"Heliconia, Occidente, Antioquia, Región Andina, Colombia","(6.2063851, -75.75276421270516, 0.0)",6.2063851,-75.75276421270516,0.0
"Hispania, Antioquia",Antioquia,Hispania,5469,2257,1716,4950,4801,1299.0,0.010071266072772644,0.021646438968460746,0.7603012848914489,"Hispania, Suroeste, Antioquia, Región Andina, Colombia","(5.79761205, -75.91561016708425, 0.0)",5.79761205,-75.91561016708425,0.0
"Itagui, Antioquia",Antioquia,Itagui,276744,93601,85341,263332,235567,63610.0,0.012469217126733323,0.022863948020022562,0.9117530795611158,"Itagüí, Valle de Aburrá, Antioquia, Región Andina, 90261, Colombia","(6.1724352, -75.6093254, 0.0)",6.1724352,-75.6093254,0.0
"Ituango, Antioquia",Antioquia,Ituango,27074,7502,5634,23784,24587,5348.0,0.00743953762316818,0.004015502938562898,0.7509997334044255,"Ituango, Norte, Antioquia, Región Andina, 052050, Colombia","(7.3280098, -75.92733687892041, 0.0)",7.3280098,-75.92733687892041,0.0
"Jardín, Antioquia",Antioquia,Jardín,14518,5521,4474,13541,14323,3759.0,0.0010407428947223352,0.013484717210137998,0.8103604419489223,"Jardín, Suroeste, Antioquia, Región Andina, Colombia","(5.5677031, -75.80246167817216, 0.0)",5.5677031,-75.80246167817216,0.0
"Jericó, Antioquia",Antioquia,Jericó,13640,5144,3843,11257,12761,3246.0,0.005137228049615139,0.013071607139042207,0.7470839813374806,"Jericó, Suroeste, Antioquia, Región Andina, 056010, Colombia","(5.76440055, -75.76808042141812, 0.0)",5.76440055,-75.76808042141812,0.0
"La Ceja, Antioquia",Antioquia,La Ceja,64889,22261,18138,59386,46366,11451.0,0.026191878209510744,0.0360126912936527,0.8147881946004223,"La Ceja, Oriente, Antioquia, Región Andina, 055010, Colombia","(5.985242250000001, -75.4467398934149, 0.0)",5.985242250000001,-75.4467398934149,0.0
"La Estrella, Antioquia",Antioquia,La Estrella,71545,24660,21998,67881,52763,13822.0,0.023700845781364333,0.036391932716924646,0.8920519059205191,"La Estrella, La Estrella, Antioquia, Valle de Aburrá, Antioquia, Región Andina, 055460, Colombia","(6.1576944, -75.6434368, 0.0)",6.1576944,-75.6434368,0.0
"La Pintada, Antioquia",Antioquia,La Pintada,8114,3179,2669,7974,6997,1907.0,0.011458184667466176,0.026196682219429057,0.839572192513369,"La Pintada, Suroeste, Antioquia, Región Andina, Colombia","(5.74047855, -75.59255699154161, 0.0)",5.74047855,-75.59255699154161,0.0
